cutting_speed_mmin,feed_rate_mmrev,operating_time_hours,tool_material,workpiece_material,coolant_type,lubrication,machine_rigidity,vibration_level,tool_coating,tool_geometry,tool_wear_mm
,0.1662822935517689,61.040980333640476,Ceramic,Titanium,Oil,Flood,Low,Low,TiAlN,,1.0597548697361512
92.02484042736006,0.1627911188953974,525.5838794380517,,Titanium,,Dry,,Low,TiN,Worn,0.7467350572305048
232.02474824054192,,371.58420944572504,Diamond,Titanium,Synthetic,Dry,Medium,High,TiAlN,Standard,1.5807461686813775
96.07714276137696,,661.8676109239301,Ceramic,Aluminum,Water,Dry,,Low,TiN,Sharp,2.090664098158932
63.41788462029782,0.45127793762747254,83.32834152303809,Ceramic,Titanium,Synthetic,Flood,Medium,High,None,Sharp,
196.61598721336418,0.4918621252972311,190.01940470616316,Diamond,Titanium,None,Minimum,Medium,Low,TiN,Standard,1.8159839597197769
40.52572191667855,0.05890961660357645,633.9571588358153,Diamond,Aluminum,None,Flood,Low,High,None,Worn,1.2751151945518149
123.79036697210724,0.21087086328684948,680.1134737577115,HSS,Aluminum,Oil,Mist,High,Low,None,Standard,1.9147956410104947
218.17870712191407,0.16488371047718578,425.8060344671532,HSS,Steel,Oil,Flood,Medium,Low,TiAlN,Worn,
,0.188955261685256,20.65913644204161,HSS,Steel,Synthetic,Dry,Medium,High,TiAlN,Worn,1.9733781373342334
84.78434652975773,0.1473703453135773,715.5034434476157,Diamond,Steel,Water,Minimum,Low,Medium,TiN,Worn,1.8464653255229897
95.16449142931525,0.20367913337745194,309.29835468906066,Carbide,Steel,Synthetic,Flood,Low,Low,None,Worn,
,0.08787900452911447,36.54602467953423,Diamond,Aluminum,Synthetic,Minimum,Low,Low,None,Standard,1.8856273846232898
79.84134283372225,0.15431277226176207,655.9557354504759,Diamond,Steel,Synthetic,Mist,Medium,,DLC,Worn,2.088564275406424
63.163694639487304,0.3789525814190643,337.36495227234764,Carbide,Titanium,Water,Minimum,Low,Medium,None,Sharp,2.6825345778809226
123.71593243275186,0.18514233231284477,156.04228089116387,HSS,Aluminum,Synthetic,Flood,Medium,Low,TiAlN,Sharp,2.7434127662293752
45.89457750009372,0.11976075071592701,642.2547202135048,Carbide,Composite,,Mist,Low,High,TiAlN,,0.4655891541808204
226.72839366280988,0.07205313851112394,368.8839631054636,Ceramic,Titanium,None,Flood,Low,Low,None,Worn,1.3887248131589676
103.52325682716217,0.18704199069592925,488.20860295137385,Diamond,Composite,Synthetic,Dry,High,Low,None,Worn,2.8311691048248937
103.98250742226357,0.3288363625377691,659.3815318571984,Diamond,Steel,Oil,Flood,Low,Low,TiN,Worn,2.8813188240143415
204.10208489939492,0.14158633811200208,420.32556078798905,Carbide,Steel,Oil,Dry,Medium,Low,DLC,Standard,0.6105957186761175
105.14063862931025,0.2227739316396143,92.83003549519294,Carbide,Titanium,Water,Mist,High,,DLC,Sharp,1.3589280543814235
197.3995085298321,0.4771513182796026,771.190651182303,Ceramic,Steel,None,Mist,High,Medium,TiN,Worn,0.8720183326267537
69.87324308199582,0.28513416888009263,232.7997034173609,HSS,Steel,Water,Flood,Low,Low,TiN,Sharp,2.3826722468575614
146.37743423460847,0.2753305356147985,795.4282980860593,Ceramic,Steel,Oil,,Low,Medium,DLC,Worn,
199.07252328949892,0.21677279003316308,9.789507746924732,Ceramic,Steel,Synthetic,Flood,High,Low,DLC,Worn,1.4342749375287018
128.97780266595674,0.28728318896348265,389.61150631259267,Diamond,Composite,Water,Minimum,High,Medium,TiN,Sharp,
45.79891807298714,0.49259229171064534,565.4233224511672,Diamond,Titanium,Water,Minimum,Low,Low,None,Standard,2.6164005427008825
192.11851693566794,0.1418273146202862,725.5100375445868,,Steel,Water,Flood,High,Low,None,Worn,2.143080985091023
138.69242863557864,0.47212538952766886,625.3678715790556,Diamond,Composite,Oil,Minimum,Medium,High,TiAlN,Standard,0.5114578505654885
99.61154708444718,0.09155407250095891,208.22411585912297,Ceramic,Aluminum,Synthetic,Dry,High,Low,DLC,Worn,2.1503773928451198
248.41506166787713,0.07333057450234681,198.42700430429375,Diamond,Titanium,Water,,Low,High,DLC,Worn,0.5188940366408125
222.73588963366714,0.3342413579567187,,HSS,Titanium,None,Flood,Medium,Medium,DLC,Worn,1.978549138224871
38.32096090787199,0.1405659318411545,92.87945956378108,Diamond,Aluminum,Oil,Mist,Medium,Low,DLC,Worn,1.033924262572112
,0.2333083070275649,537.3107300891878,Carbide,Steel,Oil,Minimum,Low,High,TiN,Standard,0.21650878792827044
108.00512086064462,0.370234288917362,753.3003823239352,Diamond,Titanium,Oil,Dry,High,Medium,None,Standard,0.7181211005557341
38.22914158928359,0.27672392151828673,515.472982954384,Diamond,Aluminum,Water,Mist,Low,Medium,None,Sharp,1.431727530859491
32.48534592440626,0.026599687678654116,429.03203519000647,Ceramic,Aluminum,Oil,Dry,Medium,High,TiAlN,Standard,2.9823478667873777
158.4267121509882,0.16680475182705762,405.1626267503264,Ceramic,Composite,Oil,Dry,High,Low,DLC,Standard,0.8043481708884458
100.42874505922691,0.05104960150029403,476.12743610786896,Carbide,Aluminum,Synthetic,Flood,Medium,High,TiAlN,Sharp,2.937408362832391
184.7295654236984,0.46453498402673743,569.93727526593,Carbide,,Oil,Flood,High,High,None,Sharp,1.124446468410467
,0.40143132484006544,637.0244862897117,Ceramic,Aluminum,Water,Minimum,Low,Medium,TiN,Worn,2.8820323685264038
198.62946303397482,0.4922440081646773,560.1653314259041,Ceramic,Aluminum,Oil,Dry,Medium,High,None,Sharp,2.870505142521278
208.87435162854388,0.4448525659720389,565.500338855919,Diamond,Aluminum,Synthetic,Dry,Low,Medium,None,Standard,0.47154790596341356
174.5915691023595,,,,Titanium,Oil,Mist,Medium,High,TiN,Sharp,2.4947217285788166
121.95397386364013,0.4436468082610576,719.9779992780624,Carbide,,Water,Flood,High,High,TiN,Worn,1.5760707390326185
247.46499507593524,0.34277053439757055,660.0190381731614,Ceramic,Composite,None,Flood,Low,Low,None,Standard,2.0742903564765496
97.47078376239925,0.27180783506768047,39.47139156334565,HSS,Titanium,Oil,Dry,Low,,None,Worn,2.339422931012902
143.20745357772404,0.19791010204058418,536.7495409346477,Carbide,Composite,,Mist,Medium,Low,TiAlN,Standard,0.4173759594205216
144.48890253297228,0.3468637644494742,366.709717222753,HSS,Composite,Oil,Mist,Low,,DLC,Sharp,2.4069688594421295
124.23454727745198,0.3032640430178982,495.99137852222816,Carbide,Titanium,Oil,,Low,Low,TiN,,0.9432427996946118
56.711370205396676,0.314808791639916,550.59432761913,Ceramic,Aluminum,,Mist,High,Low,DLC,Sharp,2.210490725987838
107.86726028844332,0.2119190389553619,573.1482416295091,Carbide,Steel,Oil,Dry,Low,Medium,TiAlN,Sharp,1.7422934832199284
77.34174409834822,0.3748712548591729,696.1939003747389,Carbide,Titanium,Water,Minimum,Low,High,TiN,Sharp,2.069761922301037
227.968582466624,,728.4429787470328,,Aluminum,None,Mist,High,Medium,TiN,Standard,1.8874915408613424
174.18251826206534,0.36855630213401974,487.4285885293779,Carbide,Titanium,Oil,Minimum,Medium,Low,DLC,Worn,2.440740604031853
93.31912049227174,0.3707654305313389,715.8605671319262,Ceramic,,None,Dry,High,Medium,TiN,Worn,2.688952233442092
154.46117710783432,0.2676528297830612,612.8742676673915,Diamond,Aluminum,,Mist,Medium,Medium,None,Worn,1.3748511401094807
217.70565487525442,0.1463759121288729,166.16668390161283,Ceramic,Steel,Oil,Dry,Low,,TiAlN,Worn,1.2069043095098753
235.57558881681663,0.2692527269150574,,Carbide,Titanium,Oil,Flood,High,High,TiAlN,Sharp,0.7644614446844824
46.50782383805374,0.07908136900450277,12.86121324935149,HSS,Titanium,Oil,Flood,Medium,Low,TiN,Worn,2.4508251145207685
203.11987036439876,0.15686901218578642,471.36544199094027,Ceramic,Titanium,Synthetic,Mist,High,Medium,TiN,Worn,2.9026905866249897
242.58778004711735,0.22222394172525228,419.6666381912649,Ceramic,Composite,Oil,Mist,Low,Low,DLC,,0.6261988186160243
132.794076492194,0.34315221679523045,558.6129992418026,Ceramic,Titanium,Synthetic,Dry,Medium,High,TiAlN,Standard,1.400635026152037
249.01748220481056,0.10986404852241938,675.0484881247386,Ceramic,Composite,None,Flood,High,Medium,None,Sharp,2.3224956389314664
240.55715798944823,0.09592196083153474,135.73178540266952,HSS,Composite,Water,Mist,Medium,High,None,Standard,1.926326722098446
174.5160965800159,0.311742253840534,685.8632567553092,,Aluminum,Synthetic,Flood,Low,Low,DLC,Sharp,2.454341092859106
216.47450793229217,0.34618185968145004,82.9752260978119,HSS,Composite,Oil,Flood,High,Low,TiAlN,,0.09762878409496475
